Year,Zip Code,Price,RegionID,City,State,Latitude,Longitude
2010,23185,267250.0,41715,Williamsburg,Virginia,37.25911237525154,-76.70750586861797
2010,23690,301150.0,55287,Yorktown,Virginia,37.22630523817537,-76.52829024393269
2010,23701,126850.0,53978,Portsmouth,Virginia,36.80956187553928,-76.36788449637805
2010,23832,222050.0,44568,Chesterfield,Virginia,37.4064833441638,-77.59980515786691
2010,23834,134600.0,37968,Colonial Heights,Virginia,37.27529180852872,-77.40363770005312
2010,24153,154800.0,40718,Salem,Virginia,37.28882794315878,-80.06978820371621
2010,24281,428950.0,20241,Rose Hill,Virginia,36.67446012,-83.3663504
2010,24551,242850.0,18141,Forest,Virginia,37.35679393918156,-79.29676373969897
2010,24557,354150.0,244024,Groveton,Virginia,36.95864767702703,-79.33611918918919
2010,25401,120150.0,12597,Martinsburg,West Virginia,39.45614940551528,-77.97347877156913
2010,25414,173600.0,44549,Charles Town,West Virginia,39.27712607491448,-77.86959313477766
2010,27012,175600.0,17469,Clemmons,North Carolina,36.03032199515151,-80.3863249283117
2010,27284,168600.0,15128,Kernersville,North Carolina,36.11395099779411,-80.08202401781045
2010,27302,145800.0,29105,Mebane,North Carolina,36.0850085592979,-79.24402953717151
2010,27360,76500.0,20789,Thomasville,North Carolina,35.87093067942051,-80.0903792243685
2010,27502,199550.0,16785,Apex,North Carolina,35.72886406110345,-78.88700780006896
2010,27511,231100.0,51297,Cary,North Carolina,35.76245975530809,-78.77754032828507
2010,27514,292300.0,17386,Chapel Hill,North Carolina,35.944262890956196,-79.03816268434286
2010,27526,146350.0,181663,Fuquay Varina,North Carolina,35.590202438024804,-78.78409930166985
2010,27529,151300.0,4854,Garner,North Carolina,35.66989569908798,-78.59832191158797
2010,27540,203500.0,25165,Holly Springs,North Carolina,35.64510048470948,-78.83745908175331
2010,27560,156950.0,6050,Morrisville,North Carolina,35.87567491335878,-78.8312017629135
2010,27592,153150.0,50551,Willow Spring,North Carolina,35.56337423626667,-78.68371975146667
2010,27601,187100.0,54047,Raleigh,North Carolina,35.77797953110774,-78.6341786013657
2010,27834,120350.0,11726,Greenville,North Carolina,35.62079400298507,-77.39609792678274
2010,28031,208700.0,51550,Cornelius,North Carolina,35.46393908411215,-80.87901813476635
2010,28078,218200.0,5239,Huntersville,North Carolina,35.40144098211532,-80.82189587429306
2010,28104,189400.0,12614,Matthews,North Carolina,35.051553489993076,-80.70016854404432
2010,28115,240550.0,46604,Mooresville,North Carolina,35.57890284202137,-80.80568455352737
2010,28374,224100.0,33430,Pinehurst,North Carolina,35.19247220441826,-79.46497507098675
2010,28376,142400.0,42608,Raeford,North Carolina,34.99350618082369,-79.19185798275419
2010,28401,179250.0,21320,Wilmington,North Carolina,34.23650893110465,-77.94015331831396
2010,28532,128850.0,25067,Havelock,North Carolina,34.896301072628724,-76.89542295799458
2010,28560,160500.0,26088,New Bern,North Carolina,35.09713657065089,-77.01069215869822
2010,28572,164050.0,53352,Mint Hill,North Carolina,35.035460556321844,-77.76824802356322
2010,28607,223700.0,37499,Boone,North Carolina,36.21042868596882,-81.66596428247958
2010,28613,113400.0,51528,Conover,North Carolina,35.73207570930521,-81.2177079114144
2010,28734,146100.0,31639,Franklin,North Carolina,35.181201617505856,-83.38541220708431
2010,29045,120900.0,49094,Elgin,South Carolina,34.14464675734463,-80.84136264152542
2010,29063,139500.0,25261,Irmo,South Carolina,34.11423669350649,-81.19093095746753
2010,29072,135650.0,32489,Lexington,South Carolina,33.991341763036566,-81.25193823521462
2010,29142,111650.0,223245,Socastee,South Carolina,33.46887917882353,-80.50248783647059
2010,29316,113350.0,23360,Boiling Springs,South Carolina,35.03603757227961,-81.97800201954152
2010,29369,125250.0,35777,Moore,South Carolina,34.88226818179908,-82.02086345641497
2010,29401,218250.0,4054,Charleston,South Carolina,32.774635878089306,-79.93392671578401
2010,29464,307900.0,12864,Mount Pleasant,South Carolina,32.81307570544164,-79.86489718233439
2010,29585,236650.0,35932,Pawleys Island,South Carolina,33.45610977082294,-79.13085900723192
2010,30019,157000.0,44836,Dacula,Georgia,34.00762133094812,-83.90082838300538
2010,30024,209700.0,36296,Suwanee,Georgia,34.06329711675042,-84.09416351306533
2010,30052,128950.0,53026,Loganville,Georgia,33.80919432723522,-83.90644542627236
2010,30214,162000.0,45251,Fayetteville,Georgia,33.48348029626168,-84.47271933383178
2010,30240,91450.0,52840,Lagrange,Georgia,33.04022963603473,-85.07827941866859
2010,30263,122000.0,53569,Newnan,Georgia,33.38451078724083,-84.80362218740032
2010,30277,163450.0,7032,Sharpsburg,Georgia,33.39680615090909,-84.6685587039394
